year,month,day,statefips,emp,emp_incq1,emp_incq2,emp_incq3,emp_incq4,emp_incmiddle,emp_incbelowmed,emp_incabovemed,emp_ss40,emp_ss60,emp_ss65,emp_ss70
2020,1,31,38,-0.0185,0.00528,-0.0271,-0.0303,-0.00539,-0.0287,-0.0163,-0.0204,-0.023,-0.00958,-0.00011,-0.17307094682159943
2020,1,31,39,-0.0022,-0.00541,0.00235,-0.00127,-0.00613,0.000701,-0.00157,-0.00314,-0.00335,-0.0028,-0.00191,0.00132
2020,1,31,40,-0.000346,-0.000123,0.00182,-0.00349,0.000272,-0.000653,0.000847,-0.00201,0.000925,0.00533,-0.00745,0.00517
2020,1,31,41,0.00197,-0.00777,0.00224,0.00757,-0.00286,0.00467,0.000255,0.00353,-1.57e-05,-0.00346,0.00806,0.000829
2020,1,31,42,-0.00184,-0.00103,-0.00287,-0.000447,-0.00333,-0.00166,-0.00198,-0.00168,-0.00335,-0.000674,0.00215,-0.00497
2020,1,31,44,-0.00314,-0.000444,-0.00503,-0.00552,0.000623,-0.00527,-0.00322,-0.00304,-0.00449,-0.0115,0.00739,-0.00242
2020,1,31,45,-0.00283,0.000923,-0.000384,-0.00543,-0.0105,-0.0026,0.000243,-0.00742,-0.0201,-0.00108,0.00152,0.00071
2020,1,31,46,-0.0179,-0.0357,-0.0116,0.0134,-0.0479,-0.00125,-0.0218,-0.0123,-0.038187085440496114,-0.0101,-0.07295280555169754,-0.0162
2020,1,31,47,0.00226,0.00762,0.00437,-0.00366,-0.0012,0.000695,0.00592,-0.00265,0.00102,0.00286,0.00221,0.0159
2020,1,31,48,0.000916,0.0017,0.00513,0.00114,-0.00584,0.00325,0.00341,-0.00209,-0.000556,-0.0032,0.0059,0.00376
2020,1,31,49,-0.00238,-0.00515,0.00546,-0.00307,-0.0122,0.00175,0.00187,-0.00707,0.000272,-0.0127,0.007,-0.00824
2020,1,31,50,-0.00234,0.0042,-0.00131,-0.00651,-0.001,-0.0035,-0.00025,-0.00478,0.00422,-0.000437,0.0116,-0.0139
2020,1,31,51,-0.00146,-0.0031,0.00287,-0.00165,-0.00376,0.000489,0.00024,-0.00276,-0.00175,-0.00437,0.00518,-0.00288
2020,1,31,53,-0.000372,-0.127,0.0104,0.00562,-0.00827,0.00799,0.000253,-0.00073,-0.00617,0.011,0.00836,-0.00362
2020,1,31,54,0.00562,-0.00404,0.00613,0.0147,0.033,0.00945,-0.0004,0.0219,-0.00237,0.0258,0.0102,0.00476
2020,1,31,55,-0.00312,-0.00753,-0.00173,-0.00201,-0.000989,-0.00187,-0.00437,-0.00163,-0.0102,-0.00285,0.00364,0.00688
2020,1,31,56,-0.00715,0.00442,-0.0193,-0.00119,-0.0124,-0.00935,-0.00814,-0.00632,0.00018,-0.003,0.00331,-0.022
2020,2,7,1,-0.00706,-0.0252,0.00105,0.00337,-0.00371,0.0022,-0.0128,0.000695,-0.0512,-0.00305,0.0237,-0.0291
2020,2,7,2,-0.00606,-0.152,-0.0258,0.0376,0.0125,0.00375,-0.0484,0.0262,-0.0235,0.0168,0.000186,0.044
2020,2,7,4,0.0061,-0.00869,0.0159,0.00276,0.00939,0.0102,0.00663,0.00544,0.00331,0.00445,0.00781,0.0161
2020,2,7,5,0.000613,-0.00278,0.0138,-0.00693,-0.00467,0.00455,0.00443,-0.00605,0.0222,-0.00149,-0.03,0.042
2020,2,7,6,0.00632,-0.0277,0.0113,0.00621,0.00772,0.00903,0.00557,0.0069,0.00187,0.00491,0.0169,0.01
2020,2,7,8,0.00386,-0.0205,0.00997,0.0103,-0.00133,0.0101,0.00218,0.00491,0.00762,0.0153,0.00345,-0.0126
2020,2,7,9,-0.00588,-0.00937,-0.00693,-0.00685,-0.00193,-0.00689,-0.00756,-0.00466,-0.00351,-0.00989,-0.00542,0.0119
2020,2,7,10,0.0037,-0.00413,0.00158,-0.003,0.0231,-0.000663,-0.001,0.00865,-0.00183,0.00393,0.0118,0.00254
2020,2,7,11,0.00682,0.0171,0.00293,0.0175,0.00135,0.0104,0.00477,0.00772,0.00226,0.00641,0.021,-0.00266
2020,2,7,12,0.0031,0.00318,0.00478,0.00309,0.000138,0.004,0.00407,0.00189,0.00198,0.00136,0.00378,0.0133
2020,2,7,13,0.00087,-0.00351,0.00406,-0.00241,0.00575,0.000876,0.000384,0.00139,-0.00459,0.0022,0.0109,-0.00453
2020,2,7,15,-0.0815,-0.0857,-0.12,-0.0262,-0.0403,-0.0928,-0.11,-0.0334,0.0243,0.0266,0.0227,-0.00722
2020,2,7,16,0.0237,-0.0129,0.0474,0.0239,0.0149,0.0381,0.0261,0.0204,-0.038187085440496114,0.0138,0.0515,-0.0139
2020,2,7,17,-0.00355,-0.00914,-0.00288,-0.00604,0.00174,-0.00437,-0.005,-0.00228,-0.00786,0.00696,-0.00104,-0.0158
2020,2,7,18,-0.00121,-0.00339,-0.00645,0.00427,0.00325,-0.00149,-0.00508,0.00389,-0.00208,-0.00973,0.0199,0.000571
2020,2,7,19,0.00452,0.0108,-0.000748,-0.00585,0.0169,-0.00327,0.00552,0.00319,0.0123,0.00926,0.00249,-0.00533
2020,2,7,20,-0.00568,-0.00495,-0.0129,-0.000178,-0.00336,-0.00672,-0.00948,-0.00148,-0.00738,-0.0189,0.00543,-0.17307094682159943
2020,2,7,21,0.0005,-0.00312,0.00643,-0.00194,-0.000377,0.00266,0.00174,-0.00135,-0.00164,-0.00165,0.001,-0.00201
2020,2,7,22,0.000271,0.00207,0.00244,-0.00139,-0.00476,0.000617,0.00223,-0.00275,0.000646,-0.0069,0.001,0.0199
2020,2,7,23,-0.00491,0.00784,-0.00971,-0.00334,-0.00806,-0.0069,-0.00501,-0.00479,-0.00753,0.000426,0.00648,-0.000266
2020,2,7,24,-0.000938,-0.000268,-0.00408,0.000375,0.000551,-0.00185,-0.0027,0.000462,-0.00582,-0.00122,0.00847,-0.0297
2020,2,7,25,-0.00564,-0.0138,-0.00432,-0.00723,-0.00283,-0.00582,-0.00647,-0.00512,-0.00677,-0.00286,-0.00246,-0.00379
2020,2,7,26,-0.0033,-0.0134,1.41e-05,0.000654,-0.00166,0.000321,-0.00592,-0.0003,-0.00853,0.00308,-0.00412,-0.00543
2020,2,7,27,-0.00514,-0.0173,-0.00669,-0.00171,-0.000924,-0.00405,-0.0102,-0.00137,-0.00524,0.00209,0.00462,-0.0183
2020,2,7,28,0.00401,0.00646,-0.00969,0.00874,0.00722,-0.00118,0.00266,0.00816,0.00217,-0.00335,0.0392,-0.0298
